,Feature,accuracy,param
0,"(24,)",0.8211382113821138,"{'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(6, 24)",0.9105691056910569,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(6, 24, 28)",0.926829268292683,"{'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(6, 21, 24, 28)",0.926829268292683,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(6, 21, 24, 26, 28)",0.926829268292683,"{'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(6, 21, 22, 24, 26, 28)",0.926829268292683,"{'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(5, 6, 21, 22, 24, 26, 28)",0.926829268292683,"{'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(5, 6, 21, 22, 24, 26, 28, 29)",0.9349593495934959,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(5, 6, 20, 21, 22, 24, 26, 28, 29)",0.9349593495934959,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(5, 6, 20, 21, 22, 24, 25, 26, 28, 29)",0.926829268292683,"{'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(2, 5, 6, 20, 21, 22, 24, 25, 26, 28, 29)",0.9349593495934959,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(2, 3, 5, 6, 20, 21, 22, 24, 25, 26, 28, 29)",0.926829268292683,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(2, 3, 5, 6, 7, 20, 21, 22, 24, 25, 26, 28, 29)",0.9186991869918699,"{'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(2, 3, 5, 6, 7, 20, 21, 22, 24, 25, 26, 27, 28, 29)",0.926829268292683,"{'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 2, 3, 5, 6, 7, 20, 21, 22, 24, 25, 26, 27, 28, 29)",0.926829268292683,"{'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 5, 6, 7, 20, 21, 22, 24, 25, 26, 27, 28, 29)",0.926829268292683,"{'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 5, 6, 7, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)",0.9024390243902439,"{'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 5, 6, 7, 8, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)",0.9024390243902439,"{'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 20, 21, 22, 23, 24, 26, 27, 28)",0.9024390243902439,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 20, 21, 22, 24, 26, 27, 28, 29)",0.926829268292683,"{'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 20, 21, 22, 24, 25, 26, 28, 29)",0.926829268292683,"{'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 20, 21, 22, 24, 25, 26, 28, 29)",0.9186991869918699,"{'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 19, 20, 21, 22, 24, 25, 26, 28, 29)",0.9105691056910569,"{'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29)",0.9105691056910569,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29)",0.9105691056910569,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)",0.9105691056910569,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)",0.9024390243902439,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)",0.8780487804878049,"{'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)",0.8943089430894309,"{'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)",0.8780487804878049,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
