,Feature,accuracy,param
0,"(22,)",0.7804878048780488,"{'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 2}"
0,"(22, 27)",0.7723577235772358,"{'max_depth': 5, 'min_samples_leaf': 6, 'min_samples_split': 2}"
0,"(8, 22, 27)",0.7804878048780488,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(8, 20, 22, 27)",0.8130081300813008,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(8, 20, 22, 27, 28)",0.8211382113821138,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2}"
0,"(12, 20, 22, 26, 27, 28)",0.8048780487804879,"{'max_depth': 5, 'min_samples_leaf': 7, 'min_samples_split': 2}"
0,"(12, 13, 20, 22, 26, 27, 28)",0.7967479674796748,"{'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(0, 12, 13, 20, 22, 26, 27, 28)",0.8048780487804879,"{'max_depth': 5, 'min_samples_leaf': 7, 'min_samples_split': 2}"
0,"(0, 1, 12, 13, 20, 22, 26, 27, 28)",0.7967479674796748,"{'max_depth': 5, 'min_samples_leaf': 7, 'min_samples_split': 2}"
0,"(0, 1, 8, 12, 13, 20, 22, 26, 27, 28)",0.7967479674796748,"{'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(0, 1, 2, 8, 12, 13, 20, 22, 26, 27, 28)",0.8373983739837398,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(0, 1, 2, 8, 12, 13, 14, 20, 22, 26, 27, 28)",0.8373983739837398,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(0, 1, 2, 8, 12, 13, 14, 17, 20, 22, 26, 27, 28)",0.8373983739837398,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(0, 2, 5, 7, 8, 12, 13, 14, 17, 20, 22, 26, 27, 28)",0.8373983739837398,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(0, 2, 5, 7, 8, 12, 13, 14, 17, 20, 22, 24, 26, 27, 28)",0.8373983739837398,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(0, 1, 2, 5, 7, 8, 12, 13, 14, 17, 20, 22, 24, 26, 27, 28)",0.8373983739837398,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(0, 1, 2, 5, 7, 8, 12, 13, 14, 17, 20, 22, 24, 26, 27, 28, 29)",0.8292682926829268,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(0, 1, 2, 5, 7, 8, 10, 12, 13, 14, 17, 20, 22, 24, 26, 27, 28, 29)",0.8373983739837398,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(0, 1, 2, 5, 7, 8, 10, 12, 13, 14, 15, 17, 20, 22, 24, 26, 27, 28, 29)",0.7398373983739838,"{'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(0, 1, 2, 5, 6, 7, 8, 10, 12, 13, 14, 15, 17, 20, 22, 24, 26, 27, 28, 29)",0.8699186991869918,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(0, 1, 2, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 17, 20, 22, 24, 26, 27, 28, 29)",0.8780487804878049,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(0, 1, 2, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 17, 18, 20, 22, 24, 26, 27, 28, 29)",0.8780487804878049,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(0, 1, 2, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 17, 18, 20, 21, 22, 24, 26, 27, 28, 29)",0.8699186991869918,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 20, 21, 22, 24, 26, 27, 28, 29)",0.8455284552845529,"{'max_depth': 5, 'min_samples_leaf': 9, 'min_samples_split': 2}"
0,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22, 24, 26, 27, 28, 29)",0.8699186991869918,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 26, 27, 28, 29)",0.8455284552845529,"{'max_depth': 5, 'min_samples_leaf': 7, 'min_samples_split': 2}"
0,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29)",0.8617886178861789,"{'max_depth': 5, 'min_samples_leaf': 7, 'min_samples_split': 2}"
0,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29)",0.8699186991869918,"{'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 2}"
0,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)",0.7398373983739838,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)",0.7642276422764228,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2}"
