,Feature,accuracy,param
0,"(8,)",0.7560975609756098,"{'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(6, 8)",0.8292682926829268,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(4, 6, 8)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(4, 6, 8, 20)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(4, 6, 8, 12, 20)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(0, 4, 6, 8, 12, 20)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(0, 4, 6, 8, 12, 13, 20)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(0, 4, 6, 8, 12, 13, 20, 22)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(0, 1, 4, 6, 8, 12, 13, 20, 22)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(0, 1, 4, 6, 8, 9, 12, 13, 20, 22)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(0, 1, 4, 6, 8, 9, 10, 12, 13, 20, 22)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(0, 1, 4, 6, 8, 9, 10, 11, 12, 13, 20, 22)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(0, 1, 4, 6, 8, 9, 10, 11, 12, 13, 20, 22, 26)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(0, 1, 4, 6, 8, 9, 10, 11, 12, 13, 20, 22, 26, 29)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(0, 1, 4, 6, 8, 9, 10, 11, 12, 13, 20, 22, 26, 27, 29)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(0, 1, 4, 6, 8, 9, 10, 11, 12, 13, 20, 22, 26, 27, 28, 29)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(0, 1, 4, 6, 8, 9, 10, 11, 12, 13, 15, 20, 22, 26, 27, 28, 29)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(0, 1, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 20, 22, 26, 28, 29)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(0, 1, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 20, 22, 26, 28, 29)",0.8373983739837398,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}"
0,"(0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 20, 22, 26, 28, 29)",0.7804878048780488,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 20, 22, 26, 28, 29)",0.7804878048780488,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 28, 29)",0.7804878048780488,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 28, 29)",0.7804878048780488,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 28, 29)",0.7804878048780488,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 28)",0.7723577235772358,"{'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 27, 28)",0.7723577235772358,"{'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 27, 28, 29)",0.7723577235772358,"{'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 29)",0.7723577235772358,"{'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29)",0.7723577235772358,"{'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)",0.7723577235772358,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
