,Feature,accuracy,param
0,"(28,)",0.7560975609756098,"{'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 2}"
0,"(6, 28)",0.8373983739837398,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(6, 20, 28)",0.8373983739837398,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(6, 12, 20, 28)",0.8373983739837398,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(6, 12, 20, 22, 28)",0.8373983739837398,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,"(6, 12, 20, 22, 28, 29)",0.8373983739837398,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(6, 12, 20, 22, 26, 28, 29)",0.8373983739837398,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(5, 6, 12, 20, 22, 26, 28, 29)",0.8373983739837398,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2}"
0,"(5, 6, 7, 12, 20, 22, 26, 28, 29)",0.8373983739837398,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(4, 5, 6, 7, 12, 20, 22, 26, 28, 29)",0.8699186991869918,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 4, 5, 6, 7, 12, 20, 22, 26, 28, 29)",0.8699186991869918,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 4, 5, 6, 7, 12, 20, 22, 26, 28, 29)",0.8699186991869918,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 4, 5, 6, 7, 10, 12, 20, 22, 26, 28, 29)",0.8699186991869918,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 4, 5, 6, 7, 10, 11, 12, 20, 22, 23, 28, 29)",0.8292682926829268,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 4, 5, 6, 7, 10, 11, 12, 13, 20, 22, 23, 28, 29)",0.8373983739837398,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 4, 5, 6, 7, 10, 11, 12, 13, 20, 22, 23, 26, 28, 29)",0.8373983739837398,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 4, 5, 6, 7, 10, 11, 12, 13, 20, 22, 23, 26, 27, 28, 29)",0.8373983739837398,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 2, 4, 5, 6, 7, 10, 11, 12, 13, 20, 22, 23, 26, 27, 28, 29)",0.8211382113821138,"{'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 20, 22, 23, 26, 27, 28, 29)",0.8292682926829268,"{'max_depth': 4, 'min_samples_leaf': 9, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 20, 22, 23, 24, 26, 27, 28, 29)",0.8292682926829268,"{'max_depth': 3, 'min_samples_leaf': 9, 'min_samples_split': 2}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 20, 22, 23, 24, 26, 27, 28, 29)",0.8292682926829268,"{'max_depth': 4, 'min_samples_leaf': 9, 'min_samples_split': 2}"
