,Feature,accuracy,param
0,"(24,)",0.8130081300813008,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
0,"(6, 24)",0.9105691056910569,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
0,"(3, 6, 24)",0.9349593495934959,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}"
0,"(3, 6, 24, 28)",0.943089430894309,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(3, 5, 6, 24, 28)",0.943089430894309,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
0,"(3, 4, 5, 6, 24, 28)",0.943089430894309,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200}"
0,"(3, 4, 5, 6, 8, 24, 28)",0.943089430894309,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
0,"(3, 4, 5, 6, 8, 24, 26, 28)",0.9349593495934959,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(3, 4, 5, 6, 8, 10, 24, 26, 28)",0.9349593495934959,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}"
0,"(2, 3, 4, 6, 8, 10, 14, 24, 26, 28)",0.943089430894309,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(2, 3, 4, 6, 8, 10, 14, 23, 24, 26, 28)",0.959349593495935,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(2, 3, 4, 6, 7, 8, 10, 14, 23, 24, 26, 28)",0.9349593495934959,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(2, 3, 4, 6, 7, 8, 10, 14, 23, 24, 25, 26, 28)",0.9349593495934959,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(0, 2, 3, 4, 5, 6, 7, 8, 10, 14, 23, 24, 25, 28)",0.943089430894309,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(0, 2, 3, 4, 5, 6, 7, 8, 10, 14, 23, 24, 25, 26, 28)",0.9349593495934959,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(0, 2, 3, 4, 5, 6, 7, 8, 10, 14, 20, 23, 24, 25, 26, 28)",0.9349593495934959,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(0, 2, 3, 4, 5, 6, 7, 8, 10, 14, 16, 20, 23, 24, 25, 26, 28)",0.926829268292683,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 14, 16, 20, 23, 24, 25, 26, 28)",0.926829268292683,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
0,"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 16, 20, 23, 24, 25, 26, 28)",0.926829268292683,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 20, 23, 24, 25, 26, 28)",0.9349593495934959,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
0,"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 20, 23, 24, 25, 26, 28)",0.926829268292683,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 100}"
0,"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 18, 20, 21, 23, 24, 25, 26, 28)",0.926829268292683,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
