,Feature,accuracy,param
0,"(22,)",0.7804878048780488,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 400}"
0,"(22, 27)",0.7886178861788617,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200}"
0,"(22, 23, 27)",0.8455284552845529,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
0,"(6, 22, 23, 27)",0.8536585365853658,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(6, 8, 22, 23, 27)",0.8455284552845529,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(6, 8, 14, 22, 23, 27)",0.8699186991869918,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(6, 8, 14, 15, 22, 23, 27)",0.8780487804878049,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
0,"(3, 6, 8, 14, 15, 22, 23, 27)",0.8861788617886179,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}"
0,"(0, 1, 3, 6, 8, 14, 15, 22, 23)",0.8943089430894309,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(0, 1, 3, 6, 8, 14, 15, 21, 22, 23)",0.9024390243902439,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
0,"(0, 1, 3, 4, 6, 8, 14, 15, 21, 22, 23)",0.8943089430894309,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(0, 1, 3, 4, 6, 8, 14, 15, 17, 21, 22, 23)",0.9024390243902439,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
