,Feature,accuracy,param
0,"(8,)",0.7317073170731707,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 400}"
0,"(6, 8)",0.8130081300813008,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}"
0,"(2, 6, 8)",0.8617886178861789,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}"
0,"(2, 6, 8, 24)",0.8861788617886179,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}"
0,"(2, 6, 8, 20, 24)",0.8861788617886179,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 100}"
0,"(2, 6, 8, 9, 20, 24)",0.8861788617886179,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 100}"
0,"(2, 3, 6, 8, 9, 20, 24)",0.8861788617886179,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(2, 3, 6, 8, 9, 14, 20, 24)",0.8780487804878049,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
0,"(2, 3, 6, 8, 9, 14, 15, 20, 24)",0.8780487804878049,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
0,"(0, 2, 3, 6, 8, 14, 15, 20, 24, 28)",0.8780487804878049,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(0, 2, 3, 6, 8, 9, 14, 15, 20, 24, 28)",0.8617886178861789,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
0,"(0, 2, 3, 6, 8, 9, 14, 15, 20, 22, 24, 28)",0.8699186991869918,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(0, 1, 2, 3, 6, 8, 9, 14, 15, 20, 22, 24, 28)",0.8536585365853658,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(0, 1, 2, 3, 6, 8, 9, 14, 15, 20, 22, 23, 24, 28)",0.8455284552845529,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(0, 1, 2, 3, 6, 8, 9, 10, 11, 14, 20, 22, 23, 24, 28)",0.8455284552845529,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 50}"
