,Feature,accuracy,param
0,"(28,)",0.7317073170731707,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
0,"(6, 28)",0.8861788617886179,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}"
0,"(6, 20, 28)",0.8861788617886179,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
0,"(6, 7, 20, 28)",0.9105691056910569,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
0,"(6, 7, 20, 26, 28)",0.9024390243902439,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}"
0,"(6, 7, 20, 26, 28, 29)",0.9186991869918699,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 50}"
0,"(3, 6, 7, 20, 26, 28, 29)",0.8943089430894309,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(3, 6, 7, 20, 21, 26, 28, 29)",0.8943089430894309,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}"
0,"(3, 6, 7, 8, 21, 22, 26, 28, 29)",0.8943089430894309,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(3, 4, 6, 7, 8, 21, 22, 26, 28, 29)",0.8617886178861789,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
0,"(3, 4, 6, 7, 8, 21, 22, 26, 27, 28, 29)",0.8699186991869918,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 50}"
0,"(3, 4, 6, 7, 8, 21, 22, 24, 25, 26, 27, 28)",0.8699186991869918,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}"
0,"(2, 3, 4, 6, 7, 8, 21, 22, 24, 25, 26, 27, 28)",0.8536585365853658,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(2, 3, 4, 5, 6, 7, 8, 21, 22, 24, 25, 26, 27, 28)",0.8699186991869918,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}"
0,"(0, 2, 3, 4, 5, 6, 7, 8, 21, 22, 24, 25, 26, 27, 28)",0.8536585365853658,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
0,"(0, 2, 3, 4, 5, 6, 7, 8, 15, 21, 23, 24, 25, 26, 27, 28)",0.8617886178861789,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}"
0,"(0, 2, 3, 4, 5, 6, 7, 8, 10, 15, 21, 23, 24, 25, 26, 27, 28)",0.8617886178861789,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0,"(0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 15, 21, 23, 24, 25, 26, 27, 28)",0.8536585365853658,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}"
0,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 15, 21, 23, 24, 25, 26, 27, 28)",0.8617886178861789,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
