,Feature,accuracy,param
0,"(6,)",0.7560975609756098,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}"
0,"(6, 14)",0.8130081300813008,"{'C': 1000, 'gamma': 1, 'kernel': 'rbf'}"
0,"(4, 6, 14)",0.8211382113821138,"{'C': 1000, 'gamma': 1, 'kernel': 'poly'}"
0,"(4, 6, 14, 27)",0.8861788617886179,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}"
0,"(4, 6, 14, 20, 27)",0.9105691056910569,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}"
0,"(2, 4, 6, 14, 20, 27)",0.8861788617886179,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}"
0,"(2, 4, 6, 8, 14, 20, 27)",0.9024390243902439,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(2, 4, 6, 8, 12, 14, 20, 27)",0.9024390243902439,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(2, 4, 6, 8, 12, 14, 20, 21, 27)",0.9024390243902439,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(2, 4, 6, 8, 12, 14, 20, 21, 23, 27)",0.9024390243902439,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(2, 4, 6, 8, 12, 14, 17, 20, 21, 23, 27)",0.9024390243902439,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(2, 3, 4, 6, 8, 12, 14, 17, 20, 21, 23, 27)",0.9024390243902439,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(2, 3, 4, 6, 8, 12, 14, 15, 17, 20, 21, 23, 27)",0.9024390243902439,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(2, 3, 4, 6, 8, 9, 12, 14, 15, 17, 20, 21, 23, 27)",0.9024390243902439,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(2, 3, 4, 6, 8, 9, 12, 14, 15, 17, 20, 21, 22, 23, 27)",0.9024390243902439,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(2, 3, 4, 6, 8, 9, 12, 14, 15, 16, 17, 20, 21, 22, 23, 27)",0.9105691056910569,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(1, 2, 3, 4, 6, 8, 9, 12, 14, 15, 16, 17, 20, 21, 22, 23, 27)",0.9105691056910569,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(1, 2, 3, 4, 6, 8, 9, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 27)",0.9024390243902439,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 6, 8, 9, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 27)",0.8943089430894309,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 6, 8, 9, 10, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 27)",0.8943089430894309,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 27)",0.8699186991869918,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 27)",0.8617886178861789,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 27)",0.8780487804878049,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 27)",0.8699186991869918,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27)",0.8699186991869918,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27)",0.8455284552845529,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27)",0.8455284552845529,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28)",0.8617886178861789,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28)",0.8617886178861789,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)",0.8536585365853658,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}"
