,Feature,accuracy,param
0,"(23,)",0.7560975609756098,"{'C': 1000, 'gamma': 1, 'kernel': 'rbf'}"
0,"(12, 23)",0.7967479674796748,"{'C': 1000, 'gamma': 1, 'kernel': 'rbf'}"
0,"(12, 20, 23)",0.8211382113821138,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}"
0,"(12, 20, 22, 23)",0.8048780487804879,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}"
0,"(12, 20, 22, 23, 28)",0.8292682926829268,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(12, 20, 21, 22, 23, 28)",0.8536585365853658,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(12, 20, 21, 22, 23, 26, 28)",0.8617886178861789,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(12, 20, 21, 22, 23, 26, 28, 29)",0.8455284552845529,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(12, 15, 20, 21, 22, 23, 26, 28, 29)",0.8211382113821138,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(12, 14, 15, 20, 21, 22, 23, 26, 28, 29)",0.8536585365853658,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(5, 12, 14, 15, 20, 21, 22, 23, 25, 26, 29)",0.8536585365853658,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(3, 5, 12, 14, 15, 20, 21, 22, 23, 25, 26, 29)",0.8455284552845529,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(3, 5, 12, 14, 15, 17, 20, 21, 22, 23, 25, 26, 29)",0.8455284552845529,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(3, 5, 12, 14, 15, 17, 18, 20, 21, 22, 23, 25, 26, 29)",0.8455284552845529,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(3, 5, 8, 12, 14, 15, 17, 18, 20, 21, 22, 23, 25, 26, 29)",0.8536585365853658,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(3, 5, 8, 12, 14, 15, 17, 18, 20, 21, 22, 23, 25, 26, 27, 29)",0.8455284552845529,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(2, 3, 5, 8, 12, 14, 15, 17, 18, 20, 21, 22, 23, 25, 26, 27, 29)",0.8536585365853658,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(2, 3, 4, 5, 8, 12, 14, 15, 17, 18, 20, 21, 22, 23, 25, 26, 27, 29)",0.8536585365853658,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(2, 3, 4, 5, 6, 8, 12, 14, 15, 17, 18, 20, 21, 22, 23, 25, 26, 27, 29)",0.8536585365853658,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(1, 2, 3, 4, 5, 6, 8, 9, 12, 14, 15, 17, 18, 20, 21, 22, 23, 25, 26, 29)",0.8373983739837398,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 14, 15, 16, 17, 18, 20, 21, 23, 25, 26, 29)",0.8536585365853658,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 29)",0.8617886178861789,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 29)",0.8617886178861789,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26)",0.8536585365853658,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26)",0.8617886178861789,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26)",0.8536585365853658,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 29)",0.8617886178861789,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29)",0.8536585365853658,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29)",0.8780487804878049,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)",0.8455284552845529,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
