,Feature,accuracy,param
0,"(1,)",0.7073170731707317,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}"
0,"(1, 6)",0.7967479674796748,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}"
0,"(4, 6, 15)",0.8455284552845529,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(4, 6, 15, 28)",0.8536585365853658,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}"
0,"(4, 6, 7, 15, 28)",0.7967479674796748,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}"
0,"(4, 5, 6, 7, 15, 28)",0.7886178861788617,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(3, 4, 5, 6, 7, 15, 28)",0.7886178861788617,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(3, 4, 5, 6, 7, 10, 15, 28)",0.8211382113821138,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}"
0,"(2, 3, 4, 5, 6, 7, 10, 15, 28)",0.8211382113821138,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}"
0,"(2, 3, 4, 5, 6, 7, 10, 12, 15, 28)",0.8048780487804879,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}"
0,"(2, 3, 4, 5, 6, 7, 8, 10, 12, 15, 28)",0.8048780487804879,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}"
0,"(2, 3, 4, 5, 6, 7, 8, 10, 12, 15, 16, 28)",0.8048780487804879,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}"
0,"(2, 3, 4, 5, 6, 7, 8, 10, 12, 15, 16, 27, 28)",0.7967479674796748,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}"
0,"(2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 27, 28)",0.7886178861788617,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}"
0,"(2, 3, 4, 5, 6, 7, 8, 10, 14, 15, 16, 19, 25, 27, 28)",0.7723577235772358,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}"
