,Feature,accuracy,param
0,"(23,)",0.7154471544715447,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}"
0,"(12, 23)",0.7723577235772358,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(12, 14, 23)",0.8130081300813008,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(12, 14, 22, 23)",0.7886178861788617,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(1, 12, 14, 22, 23)",0.7967479674796748,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(1, 12, 14, 21, 22, 23)",0.7723577235772358,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(1, 2, 12, 14, 21, 22, 23)",0.7642276422764228,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(0, 1, 2, 12, 14, 21, 22, 23)",0.7804878048780488,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 12, 14, 21, 23, 24)",0.7886178861788617,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 7, 12, 14, 21, 23, 24)",0.7804878048780488,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 7, 8, 12, 14, 21, 23, 24)",0.7886178861788617,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 7, 8, 9, 14, 21, 23, 24, 27)",0.7886178861788617,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 7, 8, 9, 10, 14, 21, 23, 24, 27)",0.7886178861788617,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 7, 8, 9, 10, 11, 14, 21, 23, 24, 27)",0.8048780487804879,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 14, 21, 23, 24, 27)",0.7642276422764228,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 13, 14, 21, 23, 24, 27)",0.7642276422764228,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 13, 14, 20, 21, 23, 24, 27)",0.7642276422764228,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 13, 14, 20, 21, 23, 24, 27, 28)",0.7804878048780488,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 13, 14, 16, 20, 21, 23, 24, 27, 28)",0.7723577235772358,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 13, 14, 16, 17, 20, 21, 23, 24, 27, 28)",0.7479674796747967,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 20, 21, 23, 24, 27, 28)",0.7560975609756098,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 23, 24, 27, 28)",0.7804878048780488,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 23, 24, 27, 28)",0.7886178861788617,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 27, 28)",0.7886178861788617,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 27, 28)",0.7967479674796748,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28)",0.7967479674796748,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 28)",0.7886178861788617,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)",0.7642276422764228,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)",0.8048780487804879,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)",0.7804878048780488,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}"
